text,label
湯頭又油又鹹超糟糕，喝一口就失望,負面
份量超多兩個人一份就夠，划算又滿意,正面
排了一小時吃到超普通的，浪費時間又失望,負面
漲價之後份量還變少，超傻眼超失望,負面
外送灑得亂七八糟湯都冷了，糟糕又失望,負面
店員態度差勁，問個問題就擺臉色，傻眼,負面
宵夜救星，半夜還吃得到好吃的，推薦,正面
桌面油膩都沒人擦，衛生差勁又糟糕,負面
飯裡吃到頭髮超傻眼，反映還被兇，態度糟糕,負面
老闆只顧滑手機叫三次才理人，態度差勁,負面
廁所臭到不行，衛生差勁環境又糟糕,負面
等了四十分鐘才上菜，超傻眼也超失望,負面
珍珠硬得像石頭，超雷，根本浪費錢,負面
麵糊成一坨像泡爛的泡麵，超雷，勸退,負面
排隊排很久但真的超好吃，等再久都推薦,正面
飲料半糖剛剛好超好喝，回購好幾次都滿意,正面
滷肉飯超好吃，白飯直接嗑了兩碗，真心推薦,正面
生日去還送小蛋糕超貼心，服務超親切,正面
珍奶好喝珍珠又Q，甜度剛剛好，超滿意,正面
雞排乾得像木板，品質超糟糕，勸退,負面
便宜又大碗超划算，學生吃超飽，推薦,正面
服務超貼心，淋雨還遞毛巾，超感動超滿意,正面
店面乾淨店員又親切，讀書聚餐都超推薦,正面
學校對面超方便，餐點好吃價格又划算,正面
冷氣壞掉不修熱到吃不下，超糟糕超失望,負面
牛肉麵湯頭超好喝，肉又大塊，很划算,正面
雞排現炸超好吃，咬下去會噴汁，超滿意,正面
老闆人很親切還多送一顆滷蛋，吃得超滿意,正面
火鍋湯頭超好喝料又新鮮，還能續湯超划算,正面
這個價錢吃到這種品質，超雷又失望,負面
照片跟實物差超多，超雷，看到傻眼,負面
甜點好吃不死甜，抹茶味超香，超推薦,正面
上錯餐服務又超隨便，態度真的差勁,負面
老闆記得我不吃香菜，超貼心，推薦這家,正面
份量少得可憐又賣超貴，超雷，浪費錢,負面
蛋餅皮酥內軟超好吃，醬調得剛好，推薦,正面
出餐快店員超親切，服務又超貼心,正面
飲料甜到發膩像糖漿，超雷，錢都浪費了,負面
肉根本沒熟吃完拉肚子，超雷，勸退,負面
麻辣新菜單超好吃，推薦加辣再配冬粉,正面
